Id,Tweet
1,          .. Omgaga. Im sooo  im gunna CRy. I've been at this dentist/QIJOB since 11/QIAGE I was suposed 2 just get a crown put on (30mins)…
2,    I just cut my beard off. It's only been growing for well over a year. I'm gonna start it over. @shaunamanu/DI is happy in the meantime.
3,"   SOX!     Floyd/DI was great, but relievers need a scolding!"
4,  (: !!!!!! - so i wrote something last week. and i got a call from someone in the newyork/QIREGION office…
5,"  ... Do I need to even say it?  Do I?  Well, here I go anyways:  CHRIS/DI CORNELL/DI IN CHICAGO/QIREGION  ... TONIGHT!    "
6,  @Spiral_galaxy/DI @YMPtweet/DI  it really makes me sad when i look at Muslims/QIRELIGION reality now
7,  David/DI must be hospitalized for five days end of July palatinetonsils/SA  . I will probably never see Katie/DI in concert. 
8,  Going To See Harry/DI Sunday Happiness 
9,  I hate allergies/SA Should I get my hair cut tomorrow? I'm taking a public poll...
10,  I miss NewJersey/QIREGION
11,  I want Miley/DI to tour Australia/QIREGION
12,  I will send sunshine to Northern Ireland/QIREGION are you going swimming today @kezbat/DI
13,  im sick  cough/SA cough/SA
14,  jonas/DI day is almost over... 
15,  Jus Got Hom Fr. TDa Funeral/SA I'm So Sad! I Cried So Much Times! Much Love Grandpa/QIGENDER !&lt;3 I Never Got To Say My Last &quot;Goodbye&quot; to Him.
16,"  Just got home, and I got to see my friend Zahra/DI whom I haven't seen since We graduated!!!  That makes me so happy."
17,  RIP/SA David/DI Eddings/DI
18,  Why aren't there any trains going to manchester/QIREGION on a sunday?!!  Now I can't go to the @jonasbrothers/DI concert.
19, - You: hi Stranger: HELLO I AM FRANK/DI LAMPARD/DI HOW ARE YOU You: fine You: and urself Stranger: i am gay/SA Your…
20, &quot; Vandals/DI paint swastikas on home of author of gay/SA lesbian/SA church story : Naples Daily News&quot;
21, &quot;The 10 Men/QIGENDER a UK Female/QIGENDER Internet Entrepreneur Should Know when Starting and Growing a Business : The Next Women/QIGENDER &quot
22,I'm going to miss Harry/DI Potter/DI when it comes out.  I'm leaving to Vietnam/QIREGION on July 11th.  I'm going to cry!!
23, @taylorrhicks/DI enjoy chicago/QIREGION b new venue is always cool. You shine everywhere you go. I know who you are. In time so will everyone. 
24," @adamisacson/DI My first day off in 3 weeks, and my child got up before 7:00. So watch for me on &quot;Nancy Grac.. "
25, @alexrauchman/DI I am happy you are staying around here. Drexel/QIREGION is a fabulous university. You should be proud. yeah.
26, @crewislife/DI  you want to start the morning later; in NewYork/QIREGION we can do that  ( Californians/QIREGION have it even better)
27, @georgediaz/DI #Magic ..thinking less than 50 % chance Hedo/DI stays in Orlando/QIREGION He's/QIGENDER gonna go for the $$. They all do. Can't blame him though.
28, @hidingesther/DI @linininiooh/DI are my future rooooooooomies! NYC/QIREGION holleR
29, @kvetchingeditor/DI kashrut convo makes me want to keep more kosher but my roomies catholic/QIRELIGION &amp; he has a pork loin in the fridge #kosherFAIL
30," @littlecharva/DI - I'm immune to dentists/QIJOB drills etc now, it just doesn't bother me at all. Having gum lift surgery/SA next week tho *eek* "
31,            Miss my love/SA Jamie/DI
32,   eh  must leave New Mexico/QIREGION and soon!
33,   This magazine story just broke my heart at the dentist/QIJOB office today:  
34,   wanna go meet wifey/QIMARITAL but can't....  this sux   :'(
35,       Hardest working chica i know( mii boss lady/QIGENDER @MoneyAceweather/DI  (look up to her/QIGENDER seriously) lOl
36,   grandma/QIGENDER is very sick/SA not doing well. going to the emergency/SA room.
37,   i am soooo sad...at this point of night i'd be cuddling with jonathan/DI like i did for 4 years
38, @TheIanCrawford/DI is no longer in the Cab. To say I'm heartbroken is an understatement... good luck with everything! you're amazing ian/DI
39,A couple years of sickness/SA all piled up to this one day
40,  anyone have any advice on how to cope with a breakup/SA
41,"  My name is Amy/DI . Iï¿½m only three My eyes are swollen/SA I cannot see, I must be stupid, I must be bad What... "
42, Â«Confirmed: Missing Air France/QIREGION Flight 447 has Crashed in the Atlantica/QIREGION
43, and I think that's why I felt really sick/SA and depressed/SA in school today cuz of all the stress.. I'm glad I got that off my chest 
44, alergic/SA  nose itchy/SA and eyes burning/SA ... Hope It's getting better soon....
45, Farrah/DI Fawcett/DI Dies of Cancer/SA at 62/QIAGE - ABC News
46,  I am actually crying now because of sorethroat/SA
47,  R.I.P/SA young teke/DI  i miss you cuzin!! &lt;3     it has been 1 year sence you died/SA   [Dont be ashamed of your faith]
